Period,Value
Jan-1990,0620
Feb-1990,0591
Mar-1990,0574
Apr-1990,0542
May-1990,0534
Jun-1990,0545
Jul-1990,0542
Aug-1990,0528
Sep-1990,0496
Oct-1990,0465
Nov-1990,0493
Dec-1990,0464
Jan-1991,0401
Feb-1991,0482
Mar-1991,0507
Apr-1991,0508
May-1991,0517
Jun-1991,0516
Jul-1991,0511
Aug-1991,0526
Sep-1991,0487
Oct-1991,0524
Nov-1991,0575
Dec-1991,0558
Jan-1992,0676
Feb-1992,0639
Mar-1992,0553
Apr-1992,0546
May-1992,0554
Jun-1992,0596
Jul-1992,0627
Aug-1992,0636
Sep-1992,0650
Oct-1992,0621
Nov-1992,0614
Dec-1992,0650
Jan-1993,0596
Feb-1993,0604
Mar-1993,0602
Apr-1993,0701
May-1993,0626
Jun-1993,0653
Jul-1993,0655
Aug-1993,0645
Sep-1993,0726
Oct-1993,0704
Nov-1993,0769
Dec-1993,0812
Jan-1994,0619
Feb-1994,0686
Mar-1994,0747
Apr-1994,0692
May-1994,0691
Jun-1994,0621
Jul-1994,0628
Aug-1994,0656
Sep-1994,0677
Oct-1994,0715
Nov-1994,0646
Dec-1994,0629
Jan-1995,0626
Feb-1995,0559
Mar-1995,0616
Apr-1995,0621
May-1995,0674
Jun-1995,0725
Jul-1995,0765
Aug-1995,0701
Sep-1995,0678
Oct-1995,0696
Nov-1995,0664
Dec-1995,0709
Jan-1996,0714
Feb-1996,0769
Mar-1996,0721
Apr-1996,0736
May-1996,0746
Jun-1996,0721
Jul-1996,0770
Aug-1996,0826
Sep-1996,0770
Oct-1996,0720
Nov-1996,0771
Dec-1996,0805
Jan-1997,0830
Feb-1997,0801
Mar-1997,0831
Apr-1997,0744
May-1997,0760
Jun-1997,0793
Jul-1997,0805
Aug-1997,0815
Sep-1997,0840
Oct-1997,0800
Nov-1997,0864
Dec-1997,0793
Jan-1998,0872
Feb-1998,0866
Mar-1998,0836
Apr-1998,0866
May-1998,0887
Jun-1998,0923
Jul-1998,0876
Aug-1998,0846
Sep-1998,0864
Oct-1998,0893
Nov-1998,0995
Dec-1998,0949
Jan-1999,0875
Feb-1999,0848
Mar-1999,0863
Apr-1999,0918
May-1999,0888
Jun-1999,0923
Jul-1999,0900
Aug-1999,0893
Sep-1999,0826
Oct-1999,0872
Nov-1999,0863
Dec-1999,0873
Jan-2000,0873
Feb-2000,0856
Mar-2000,0900
Apr-2000,0841
May-2000,0857
Jun-2000,0793
Jul-2000,0887
Aug-2000,0848
Sep-2000,0912
Oct-2000,0933
Nov-2000,0880
Dec-2000,0983
Jan-2001,0936
Feb-2001,0963
Mar-2001,0939
Apr-2001,0909
May-2001,0885
